iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 6686.564453125 3.918643532381202998e-01 -2.662191245261387174e-01 3.580830929256870743e-01 -3.524637432211545907e-01 -8.280819516673605385e-01 4.124731590266259573e-01 2.476179271404306270e-01 -4.913046156801623709e-01 6.417428015456549950e-02 -5.992888690324575940e-01 4.075179571415987745e-01 5.312179828398373438e-01 9.764217965139994071e-01 1.758325809955891827e-01 -4.679593367524863545e-01 -3.072470321391123083e-01 5.948788239449851467e-01 2.462619544530573190e-01 5.600158666236545457e-01 2.960508463698152681e-02 7.542550320698666599e-01 -6.597982292023309991e-01 -1.878178739722484725e-01 -8.541133195328109995e-01 6.870615818274372621e-02 5.307952844016572413e-02 -9.494857326774350792e-01 -2.879778058094801807e-01 5.107232405440835787e-01 -8.993770796940325774e-02 8.137920808834653297e-01 4.938445815878449441e-01 7.804132690413299045e-01 -8.181808071165788121e-01 8.605363233431220227e-01 -5.310442157547334840e-01 4.813931956736368090e-01 1.137897893122659099e-01 -3.806254464934957227e-01 9.486357004758230183e-01 8.937427303886789076e-01 6.964850374365552099e-01 -8.685869684317126804e-01 -6.818300105571148961e-01 9.897552566393654772e-01 9.866344869624037450e-01 -3.603745413595067504e-01 5.497748842123202362e-01 -2.579042483963056576e-01 8.052340820236019159e-01 7.806931617317427463e-01 -4.395874202830940547e-01 7.363867016294614043e-01 -7.559287923617188376e-01 -5.287057040963105692e-02 8.136810094967157347e-01 -2.241721013275903562e-01 -8.482420529344203430e-01 9.840743947906878120e-01 -4.487384809419014964e-02 8.812572283109980642e-01 -6.860504046926436672e-01 -5.875341756211207578e-01 -3.720830913942207996e-01 -1.948936758424741900e-01 -7.760198857391167326e-01 8.860317546211009532e-01 5.733555704880233250e-01 -2.869300639749396975e-01 3.302199376332479730e-01 3.064914133594063284e-01 -1.506179081514209539e-01 7.070959292524816586e-01 -2.893109883326443477e-01 6.854941291478144905e-02 8.734651259259198497e-01 8.411482853579055341e-01 -9.218673871559259769e-01 -4.978509822883803171e-01 1.007037108909891732e-01 9.087727836206305199e-01 1.606875544499901665e-01 3.820873838640008735e-01 5.477466094795684359e-01 4.527657680509928895e-01 3.141626448999250698e-01 -7.281521488225011218e-01 4.141061120277265140e-01 -4.435383753215140779e-01 -1.501509019161737513e-01 -2.516699874630263789e-01 -2.634578544445560500e-01 -6.540558433019649787e-01 -4.488644471975620220e-01 7.115965499652707749e-01 -3.118124726153810311e-01 -5.352240934603262890e-01 8.460505204372337218e-02 -8.549973282840237498e-01 7.510056064215491212e-01
1 6332.185546875 3.818643534616377178e-01 -2.562191247496561353e-01 3.480830931492044922e-01 -3.424637434446720086e-01 -8.180819518908779564e-01 4.024731592501433752e-01 2.376179273639480449e-01 -4.813046159036797889e-01 5.417428130940549202e-02 -5.892888692559750119e-01 4.175179569180813566e-01 5.412179826163199259e-01 9.664217967375168250e-01 1.658325812191066007e-01 -4.779593365289689366e-01 -2.972470323626297262e-01 5.848788241685025646e-01 2.562619542295399011e-01 5.500158668471719636e-01 1.960508486049894472e-02 7.442550322933840778e-01 -6.497982294258484171e-01 -1.778178741957658904e-01 -8.441133197563284174e-01 5.870615840626114412e-02 4.307952773236056743e-02 -9.394857329009524971e-01 -2.979778055859627628e-01 5.007232407676009966e-01 -9.993770774588583983e-02 8.237920815912704864e-01 4.838445818113623620e-01 7.704132692648473224e-01 -8.081808073400962300e-01 8.705363231196046048e-01 -5.410442164625386408e-01 4.713931958971542269e-01 1.037897895357833278e-01 -3.706254467170131406e-01 9.586357002523056003e-01 9.037427301651614897e-01 7.064850362817152174e-01 -8.785869682081952625e-01 -6.918300103335974782e-01 9.797552568628828951e-01 9.766344871859211629e-01 -3.503745406517015937e-01 5.597748849201253929e-01 -2.479042486198230755e-01 8.152340818000844980e-01 7.706931619552601642e-01 -4.495874209908992114e-01 7.463867014059439864e-01 -7.459287925852362555e-01 -4.287057156447104944e-02 8.236810092731983168e-01 -2.341721011040729383e-01 -8.382420531579377609e-01 9.740743950142052299e-01 -3.487384831770756755e-02 8.712572285345154821e-01 -6.960504044691262493e-01 -5.775341758446381757e-01 -3.620830916177382175e-01 -2.048936765502793467e-01 -7.660198859626341505e-01 8.760317539132957965e-01 5.833555702645059071e-01 -2.969300637514222796e-01 3.402199374097305551e-01 3.164914140672114851e-01 -1.406179121002286703e-01 7.170959290289642407e-01 -2.793109885561617656e-01 7.854941269126403114e-02 8.834651266337250064e-01 8.511482851343881162e-01 -9.118673873794433948e-01 -5.078509820648628992e-01 1.107037106674717553e-01 8.987727838441479378e-01 1.506875546735075844e-01 3.920873836404834556e-01 5.377466097030858538e-01 4.627657678274754716e-01 3.241626437450850773e-01 -7.181521490460185397e-01 4.041061122512439319e-01 -4.335383755450314958e-01 -1.401509021396911692e-01 -2.416699876865437968e-01 -2.534578546680734679e-01 -6.640558430784475608e-01 -4.388644474210794399e-01 7.215965497417533570e-01 -3.018124719075758744e-01 -5.452240932368088711e-01 9.460505182020595427e-02 -8.649973280605063319e-01 7.610056071293542779e-01
2 5986.0478515625 3.718592295483496013e-01 -2.462141321528510396e-01 3.380937905438139435e-01 -3.324926342257765732e-01 -8.081024048894565048e-01 3.924689433763655089e-01 2.276514812771837093e-01 -4.714220335521144278e-01 5.749602441401235886e-02 -5.792780866267235318e-01 4.274754725526777044e-01 5.510582931675460650e-01 9.564516858964213775e-01 1.558331774890717725e-01 -4.878515115030528371e-01 -2.873470007513063695e-01 5.749044935048215343e-01 2.662678604537906946e-01 5.404919610334779634e-01 9.681831652100125751e-03 7.342914341910529163e-01 -6.406542678323396967e-01 -1.680813055287713187e-01 -8.356541512700312868e-01 4.876600262445562883e-02 3.311823744736930308e-02 -9.300405331580392509e-01 -3.079856573430719280e-01 4.908000676529435946e-01 -1.091570720090031532e-01 8.331934486372094550e-01 4.738636042984663010e-01 7.604436790330710849e-01 -7.984299056186783261e-01 8.805089839219093495e-01 -5.510538246940235307e-01 4.614068120567125231e-01 9.383310929753641005e-02 -3.606842282961499890e-01 9.684099623378625843e-01 9.136732756293195479e-01 7.156027299220069082e-01 -8.866697883107677036e-01 -7.018320850967763036e-01 9.697593772574704118e-01 9.666325884427089399e-01 -3.404002397903429511e-01 5.697801336306385078e-01 -2.378946487702413570e-01 8.251967765195182825e-01 7.607993767244447536e-01 -4.595535411147624316e-01 7.561893073627368178e-01 -7.359152672110025328e-01 -3.383699777308635248e-02 8.336002605884940131e-01 -2.428373405424875120e-01 -8.282845319354059654e-01 9.640959879516151076e-01 -2.512860996886590037e-02 8.612852019628840505e-01 -7.060069124126968632e-01 -5.675499061064408490e-01 -3.521411486279120151e-01 -2.148004695634944117e-01 -7.560144379490900679e-01 8.660217880539422541e-01 5.932983430627460919e-01 -3.069087194771398241e-01 3.501124113383609071e-01 3.264934618220356466e-01 -1.480384608037501604e-01 7.266794199296595647e-01 -2.693599400255235476e-01 8.854742875066268226e-02 8.934759828374598811e-01 8.610941536488663228e-01 -9.021303008970973369e-01 -5.178602075227696222e-01 1.207057900872634537e-01 8.888691303193319015e-01 1.407495232384947670e-01 4.020637166476999091e-01 5.277425754372100375e-01 4.727240080310348702e-01 3.319934945250953007e-01 -7.082011787464765895e-01 3.941256749054411479e-01 -4.235292590518660027e-01 -1.301471267814910959e-01 -2.317154839491537555e-01 -2.436657912828252837e-01 -6.720813151308429045e-01 -4.288735401468928288e-01 7.307741823716247254e-01 -2.918269793428380776e-01 -5.552067834519196499e-01 1.045838174419873035e-01 -8.749235028278217197e-01 7.710176367995331681e-01
3 5652.513671875 3.618310749591138187e-01 -2.361857503209070508e-01 3.280925269625976082e-01 -3.224821058475879632e-01 -7.981315322264950218e-01 3.824388544301422499e-01 2.176507140908996440e-01 -4.617166381143373854e-01 6.437930476577036210e-02 -5.692801515923888722e-01 4.374740809332338110e-01 5.608949799426343752e-01 9.465371843262562201e-01 1.458107272506055097e-01 -4.978005111240269009e-01 -2.774549785141247060e-01 5.649161604062311604e-01 2.762499993259373010e-01 5.341374050801839246e-01 -2.850987224030099298e-04 7.242880993484306362e-01 -6.315391986590632722e-01 -1.601984878804201262e-01 -8.350698448418223396e-01 3.888310641718262239e-02 2.322011132203360972e-02 -9.203795031337491661e-01 -3.179889698339524173e-01 4.809348209397821261e-01 -1.161971973268747238e-01 8.427654786823015609e-01 4.638526260914741517e-01 7.506861798225346050e-01 -7.887806847646343655e-01 8.905010888769269162e-01 -5.610790148835043123e-01 4.513923851622265726e-01 8.384327863224605437e-02 -3.507784113089931211e-01 9.782432050820699665e-01 9.236580715647715323e-01 7.222514729814930590e-01 -8.954954815902724796e-01 -7.118609176888464063e-01 9.597550263419192262e-01 9.566106942038197225e-01 -3.304050521576034072e-01 5.797608624804071464e-01 -2.279050034381433498e-01 8.352006850568465257e-01 7.508527212423909969e-01 -4.695205171240717235e-01 7.658939009317771163e-01 -7.258839060781423491e-01 -3.941148119751147760e-02 8.435785894199878676e-01 -2.518162699131292204e-01 -8.183230721497061211e-01 9.540820416195776588e-01 -1.533429743960001979e-02 8.513312663322645246e-01 -7.159697393799362430e-01 -5.575355397479222486e-01 -3.421482045512547199e-01 -2.247121874104840433e-01 -7.460173364484596892e-01 8.560039273731236964e-01 6.032223310846562825e-01 -3.167655284077752764e-01 3.600411109211760774e-01 3.365105075956014158e-01 -1.562167936242848665e-01 7.349515769803287579e-01 -2.594541761237534327e-01 9.855399621394145271e-02 9.034760412872646640e-01 8.694624846565257581e-01 -8.922763753411528942e-01 -5.278926536464292329e-01 1.306123586517380364e-01 8.789140528872358971e-01 1.308390580203679932e-01 4.120698305568848419e-01 5.177138573978166125e-01 4.826621176971439553e-01 3.406895076553428936e-01 -6.990755204355267871e-01 3.843094735017040797e-01 -4.136437607293195207e-01 -1.201535447488701891e-01 -2.217392524560979350e-01 -2.374349955268428847e-01 -6.807388990976941390e-01 -4.189612001764233540e-01 7.403049753157580071e-01 -2.818086595199902344e-01 -5.607662576817322719e-01 1.143984532924764430e-01 -8.848868876572832942e-01 7.809232610029170907e-01
4 5335.90771484375 3.517819348783042255e-01 -2.261272960830287282e-01 3.180721237711503502e-01 -3.124330523797778092e-01 -7.882331183224837723e-01 3.723757705877455138e-01 2.076096755851666309e-01 -4.522929202579302199e-01 7.236942288191072770e-02 -5.592992448600084820e-01 4.475136106963959470e-01 5.707725210451033426e-01 9.366334656088599608e-01 1.357564658269581059e-01 -5.078032173239113156e-01 -2.675356564183133390e-01 5.549016860142939045e-01 2.861184246430459321e-01 5.336711908200975074e-01 -1.028503330630536894e-02 7.142424852548885372e-01 -6.221601833549150751e-01 -1.569983715459370988e-01 -8.389708158726387754e-01 2.899162155312651201e-02 1.325961731784364162e-02 -9.106481591863981873e-01 -3.279386539770188236e-01 4.710814485894470049e-01 -1.220806232667028812e-01 8.519629708347540298e-01 4.538039740236936570e-01 7.409881083054843387e-01 -7.792001880660164304e-01 9.005366363047599965e-01 -5.711387245442132166e-01 4.413414876757186800e-01 7.381696340509513732e-02 -3.408479552518022260e-01 9.881591185372582409e-01 9.336901703051108115e-01 7.299251151139243277e-01 -9.047495599710360104e-01 -7.219231642722485631e-01 9.497130397498052545e-01 9.465534069131273931e-01 -3.203731312998758796e-01 5.897125359284929313e-01 -2.179029584772869121e-01 8.451814455715827012e-01 7.408599056882489986e-01 -4.795067258758693995e-01 7.756520520681158271e-01 -7.159169077170912665e-01 -4.617733294848136438e-02 8.535449721768171294e-01 -2.610137434391301969e-01 -8.083689698123457390e-01 9.440293215347912437e-01 -5.479750691498308512e-03 8.413490808939891874e-01 -7.259834258729753742e-01 -5.474918506981418798e-01 -3.321128396626462642e-01 -2.346898419644338762e-01 -7.360319034883666678e-01 8.459745369188313990e-01 6.131770723093028508e-01 -3.266230833277929957e-01 3.698376986714917436e-01 3.465363757879165174e-01 -1.648929630644351274e-01 7.435029659592868878e-01 -2.496501107844861789e-01 1.085457901072190978e-01 9.132499895171140025e-01 8.757839642229210408e-01 -8.823566518453118679e-01 -5.379507707455355447e-01 1.404336637031839974e-01 8.689239353745925598e-01 1.208822771992830170e-01 4.221074147871886062e-01 5.076512708816747210e-01 4.926049156410936547e-01 3.495098821516240406e-01 -6.917680771334020484e-01 3.745918348973611423e-01 -4.038746283685035188e-01 -1.101754990394390177e-01 -2.117251030957392199e-01 -2.390073180929050967e-01 -6.897763332211506171e-01 -4.090035178350861500e-01 7.500167279614293747e-01 -2.717578300200302888e-01 -5.601370239032779086e-01 1.242132688882224834e-01 -8.938022328417882800e-01 7.904484939512799180e-01
5 5034.5087890625 3.417049715355779949e-01 -2.160387433621839826e-01 3.080121123619272705e-01 -3.023666921445635758e-01 -7.789131553888242188e-01 3.622713425422938727e-01 1.975220318351547100e-01 -4.428239336051387198e-01 8.093473606468193360e-02 -5.494802159609348813e-01 4.574862184133139387e-01 5.807205725796964479e-01 9.267478508709916518e-01 1.256649729207452992e-01 -5.178440183423878018e-01 -2.575599976886409070e-01 5.448377146214835598e-01 2.950207564572158159e-01 5.378692241827245368e-01 -2.034322584254022459e-02 7.041723326741504696e-01 -6.125469143462189958e-01 -1.593866158079022544e-01 -8.452035902234309450e-01 1.907916982394808336e-02 3.271231133866514540e-03 -9.007793697221628815e-01 -3.379392246542396450e-01 4.611561865182547404e-01 -1.197619555531501678e-01 8.595729747643392482e-01 4.437111456009088517e-01 7.311567989869418582e-01 -7.695847416251409001e-01 9.106173556714296513e-01 -5.812319320152858904e-01 4.312486713601273447e-01 6.374241405048231002e-02 -3.308747868786943158e-01 9.980989083092919323e-01 9.437724058649319403e-01 7.383866296017869146e-01 -9.142851659902349049e-01 -7.319329354851840108e-01 9.397596489428918787e-01 9.364555400352139181e-01 -3.102908678003775123e-01 5.983862978997878113e-01 -2.079100293017908108e-01 8.549867933420352006e-01 7.308358051461805172e-01 -4.895378206504732432e-01 7.849834833079591956e-01 -7.059094312829796714e-01 -5.337540033045939936e-02 8.634927415206701262e-01 -2.705062180472534994e-01 -7.983498527773740250e-01 9.339464293925550109e-01 4.468716212963075307e-03 8.313388756847339689e-01 -7.359569304535327205e-01 -5.374027484969781110e-01 -3.220328588347782794e-01 -2.447245232622725641e-01 -7.259990904236126585e-01 8.359850117273455172e-01 6.231984757411952458e-01 -3.365594113738168414e-01 3.779532696637231126e-01 3.566137256295112135e-01 -1.709018870494991571e-01 7.516999531709911420e-01 -2.399839398595842166e-01 1.185637513708757140e-01 9.223410845846746753e-01 8.748261358585860403e-01 -8.723739308965561268e-01 -5.480516923614937586e-01 1.492939705174969323e-01 8.588837769686925583e-01 1.108767975207713974e-01 4.321915772534166145e-01 4.975663251731614611e-01 5.026128419040087891e-01 3.584566073189581203e-01 -6.896463108027277578e-01 3.662098972668865748e-01 -3.957096320872373063e-01 -1.001347874279296946e-01 -2.016593640526822551e-01 -2.444509912081287428e-01 -6.989640232035052581e-01 -3.989953186946566532e-01 7.595450640766108208e-01 -2.616942786537010956e-01 -5.553527858442042220e-01 1.340668386789434230e-01 -8.947589357027918577e-01 7.984948239040563500e-01
6 4749.15478515625 3.317180745363976779e-01 -2.058965771946863477e-01 2.979594891346886154e-01 -2.922409004905728303e-01 -7.705020235896031799e-01 3.521174184272917174e-01 1.873834885124723293e-01 -4.334879100136799224e-01 8.979406405896894761e-02 -5.402520348670036832e-01 4.674709361176696554e-01 5.906931002028730227e-01 9.169061694129356788e-01 1.155274875805076817e-01 -5.279508007713080708e-01 -2.476327621449130323e-01 5.347321540877811863e-01 3.026141074078443349e-01 5.442152496868963851e-01 -3.045028114897485594e-02 6.941481343432116535e-01 -6.027792236727484987e-01 -1.640783069457525389e-01 -8.522740841078155771e-01 9.301597817960916004e-03 -6.685713599991593981e-03 -8.908306560172192246e-01 -3.480133334932746791e-01 4.512657996835141017e-01 -1.141826790770947841e-01 8.677618054529350200e-01 4.335744295331178666e-01 7.214993452413382968e-01 -7.599780300586926884e-01 9.207528805776477032e-01 -5.913761014576415231e-01 4.211043743265789896e-01 5.362425924160341140e-02 -3.209064185421359738e-01 1.000000000000000000e+00 9.538686596921461813e-01 7.471063681746228369e-01 -9.239653291054978901e-01 -7.419326363071201413e-01 9.298272873997133203e-01 9.263253944481868452e-01 -3.001641615876184943e-01 6.072095725345663109e-01 -1.978756404392405521e-01 8.647668855069092775e-01 7.207464486939538784e-01 -4.995822761787325206e-01 7.937812220090643134e-01 -6.962901952905480307e-01 -6.144065568927459253e-02 8.733874385162860854e-01 -2.802073172939938406e-01 -7.882817947411062676e-01 9.238300636543419486e-01 1.447526691243550268e-02 8.213394048994737684e-01 -7.457727425644335995e-01 -5.272649800346778104e-01 -3.118972156505932514e-01 -2.547567561130625879e-01 -7.159351469704795523e-01 8.260482375778084307e-01 6.332740616578336201e-01 -3.464967042700279887e-01 3.820303884851652398e-01 3.667425403565791608e-01 -1.737226754665106565e-01 7.599966775798561169e-01 -2.302165164756926341e-01 1.284874376442717292e-01 9.303610730097506831e-01 8.697420878332760008e-01 -8.623979415473697063e-01 -5.582030311250287813e-01 1.583459444489883072e-01 8.488203364297497444e-01 1.009001022290734184e-01 4.423250811896477508e-01 4.874289646301488421e-01 5.126097766978983117e-01 3.662798808585012722e-01 -6.926966055074630368e-01 3.614779995365062781e-01 -3.923004068263984401e-01 -9.008706109478836765e-02 -1.915514919763496859e-01 -2.512863163635359331e-01 -7.078480340399873061e-01 -3.889360281291063259e-01 7.692439514322364502e-01 -2.515709019191463280e-01 -5.487935205323968280e-01 1.437353295283787524e-01 -8.905165592784196615e-01 8.070479488682935632e-01
7 4500.94873046875 3.216388778821375194e-01 -1.958038800883845632e-01 2.878521926157071587e-01 -2.820940050670412980e-01 -7.624568037733356896e-01 3.420085852260621451e-01 1.771946845044056751e-01 -4.240257769637150176e-01 9.888399031669847794e-02 -5.310013371871860066e-01 4.775290886070338026e-01 6.007348539643433405e-01 9.069329600616344855e-01 1.054252546623644093e-01 -5.378266161330462758e-01 -2.377051009867685583e-01 5.247220103458158924e-01 3.094097642751696409e-01 5.508976721646483554e-01 -4.059874678236718992e-02 6.840402995197820690e-01 -5.930848346051582620e-01 -1.703748456935996192e-01 -8.591830098236494795e-01 -5.805216662848611264e-04 -1.660173229463079991e-02 -8.808239451302639633e-01 -3.580859168259324932e-01 4.415089104892639948e-01 -1.157415730193689374e-01 8.765211662133853832e-01 4.234394410687027932e-01 7.116636484621468028e-01 -7.503144025757420010e-01 9.308521584092617207e-01 -6.014178673263053110e-01 4.109230702592057138e-01 4.345496085353950377e-02 -3.108780814136755666e-01 1.000000000000000000e+00 9.640332772529500716e-01 7.516900482455595167e-01 -9.337363045536890560e-01 -7.518148368164299100e-01 9.205506095453541704e-01 9.162429688985604948e-01 -2.899862959631906989e-01 6.122884470629743614e-01 -1.880238317795082104e-01 8.742110896659902597e-01 7.107810559330214328e-01 -5.096213300360590281e-01 8.027857152530566420e-01 -6.864828367946569365e-01 -7.011511056456498636e-02 8.808029604062110884e-01 -2.899288413761180738e-01 -7.781620175683023888e-01 9.136645771695759422e-01 2.455772040173909154e-02 8.112602454981165945e-01 -7.557286740193305263e-01 -5.171071881370232770e-01 -3.016996302019705478e-01 -2.646298594634635126e-01 -7.058231100195933028e-01 8.160564641736274272e-01 6.433701748553390942e-01 -3.560640674576986964e-01 3.822125769940809548e-01 3.768865551993874075e-01 -1.751196275470510155e-01 7.688190413811566426e-01 -2.247544814045878692e-01 1.385216802891777732e-01 9.375091916994069408e-01 8.636125100773479613e-01 -8.523823383924720165e-01 -5.684113025688726228e-01 1.657016614597843773e-01 8.390024996235716515e-01 9.093538560833014373e-02 4.524995363108073043e-01 4.773120251972298167e-01 5.226311661599520875e-01 3.745500532607639599e-01 -6.969944403285084356e-01 3.559042946977535316e-01 -3.919952944623950053e-01 -8.002449134245281925e-02 -1.814216788714817508e-01 -2.590272842705474421e-01 -7.167689615720045371e-01 -3.788843716147001217e-01 7.762123742250883751e-01 -2.414258151240546990e-01 -5.421220699658964026e-01 1.533245247798435962e-01 -8.846999180147558928e-01 8.160579462287018693e-01
8 4270.537109375 3.114898776695873561e-01 -1.857501308921531979e-01 2.778012085161998268e-01 -2.719766577148345910e-01 -7.547409904234032574e-01 3.318981687764557265e-01 1.669520584334294178e-01 -4.146263759397310622e-01 1.081563263452147705e-01 -5.215580243038089314e-01 4.875499509405103460e-01 6.106971873306181742e-01 8.968521298675784514e-01 9.535488508346645631e-02 -5.471711939223529164e-01 -2.279851648096340444e-01 5.149700813755981876e-01 3.154468612337770761e-01 5.571073185162838115e-01 -5.072532354128833632e-02 6.738475755749988583e-01 -5.837518201169380472e-01 -1.775597167003566401e-01 -8.645973774770789877e-01 -1.027404460388070540e-02 -2.602175559438446584e-02 -8.714992687730542809e-01 -3.680913992984118366e-01 4.321514571653632952e-01 -1.205823200069799928e-01 8.856792000909965434e-01 4.133534867378412248e-01 7.023038500680032215e-01 -7.405029751315224118e-01 9.408357808782696896e-01 -6.114526045034984758e-01 4.007410034386438280e-01 3.336718858101228591e-02 -3.008524982060682973e-01 1.000000000000000000e+00 9.742528204939144842e-01 7.522811579269683691e-01 -9.435183804356470638e-01 -7.615838527619240850e-01 9.118774575903456636e-01 9.063316282372135824e-01 -2.797917186864840033e-01 6.100900007537803926e-01 -1.789212041445060741e-01 8.832364463982991243e-01 7.007084157896865673e-01 -5.195634620843678775e-01 8.118555668526903357e-01 -6.768272307930414122e-01 -7.922746213856868280e-02 8.858158879831106169e-01 -2.997267301840704778e-01 -7.680357276567342240e-01 9.034234430773642188e-01 3.468992328033349004e-02 8.012625395691352903e-01 -7.658036657521662960e-01 -5.069642284826920697e-01 -2.914518548484792415e-01 -2.740159053217274820e-01 -6.957610003406096144e-01 8.060149041272526294e-01 6.533590946871514760e-01 -3.650596302495230372e-01 3.792522552678034842e-01 3.870115943447378637e-01 -1.767902501631259948e-01 7.779870795258643223e-01 -2.256382050719449861e-01 1.485798784133480765e-01 9.443580955379520248e-01 8.573400036428775461e-01 -8.423606537011620876e-01 -5.786799451359707636e-01 1.710378776450263150e-01 8.301880148112523727e-01 8.096664288009680632e-02 4.626325084618483352e-01 4.673137334663490794e-01 5.325889705045465661e-01 3.830807622219527531e-01 -7.019000455515382875e-01 3.493704316748300620e-01 -3.933166740233722258e-01 -7.002123566224938145e-02 -1.713747525444320186e-01 -2.672451228633747622e-01 -7.246561908953916831e-01 -3.690186154680903385e-01 7.779679719934398108e-01 -2.313123597688873101e-01 -5.354558268895719397e-01 1.625928142117731845e-01 -8.781252290697902918e-01 8.253966538918207085e-01
9 4073.1884765625 3.013864005044843974e-01 -1.759350964356021230e-01 2.679906071551039215e-01 -2.621929976531771622e-01 -7.474628302313308659e-01 3.217797150130303763e-01 1.568097246278683521e-01 -4.057638330199164756e-01 1.174560358068441612e-01 -5.118799203427584210e-01 4.973164821173754468e-01 6.200291755013611628e-01 8.868015434428104804e-01 8.548028323504297532e-02 -5.558228360511781041e-01 -2.187433593977587964e-01 5.054941284299485638e-01 3.212775552237692178e-01 5.620764511147733344e-01 -6.057453567368265013e-02 6.636237631513524082e-01 -5.750315125060090349e-01 -1.832138421747500079e-01 -8.689131458456211821e-01 -1.926003619360572294e-02 -3.453293937779644551e-02 -8.631897545112721115e-01 -3.778303251428427600e-01 4.233022815184621646e-01 -1.270156816825702695e-01 8.918152179425280490e-01 4.035014368655620576e-01 6.958124870194497547e-01 -7.305806728034722752e-01 9.505839808328986340e-01 -6.214685261707166841e-01 3.907319977728647142e-01 2.360364601828912612e-02 -2.911085506703150472e-01 1.000000000000000000e+00 9.841913865080851309e-01 7.502961737786746355e-01 -9.526453090705886417e-01 -7.712086738958356946e-01 9.035798642575185724e-01 8.967894163469929403e-01 -2.697229845100270751e-01 6.054109825878641882e-01 -1.704227301202698719e-01 8.915786957172564531e-01 6.905395802689422435e-01 -5.291120516715794864e-01 8.212312359148279395e-01 -6.676233264846627158e-01 -8.859661753061942591e-02 8.900435094639331801e-01 -3.084101779101413587e-01 -7.579962491163136917e-01 8.931887434928205138e-01 4.451146954432627645e-02 7.916035817375737249e-01 -7.758063542569217930e-01 -4.969131559075401494e-01 -2.813125655364145938e-01 -2.827832447226745760e-01 -6.858602711686778708e-01 7.960128181882029086e-01 6.629537363130326710e-01 -3.732088806600202258e-01 3.747906562195764124e-01 3.970042087332037450e-01 -1.755876665008917481e-01 7.871854880997302129e-01 -2.285935134888033016e-01 1.585230656501339652e-01 9.517414318510208915e-01 8.525033977810945185e-01 -8.326666241240856525e-01 -5.888621209212738794e-01 1.755055098008917458e-01 8.232372894756245785e-01 7.116036658103741530e-02 4.725760384253416824e-01 4.576268042925815127e-01 5.423197314439658356e-01 3.914319848339165020e-01 -7.060871177131233800e-01 3.420349341427901813e-01 -3.943917801142382551e-01 -6.040089977785711994e-02 -1.616149576237491114e-01 -2.752451064795480296e-01 -7.308138070487510962e-01 -3.595326359036024044e-01 7.761593345895567708e-01 -2.213462498895724107e-01 -5.303528124800298560e-01 1.712133417847030437e-01 -8.716137578355283022e-01 8.349196470093915856e-01
