iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 253236.875 -7.376369470519608118e-01 1.418440808352627869e-03 2.340937130225193563e-01 -9.775076726342653011e-01 7.172638637326729238e-01 -8.747842519785578030e-01 7.541555351348014913e-01 1.092513971769006886e-01 9.561710999213257622e-01 1.676871978425145127e-01 8.074087757264649667e-01 -1.425835238794925797e-01 -7.438078733174586787e-01 3.840352172099734673e-01 2.644782082117205224e-01 2.703176560247846361e-01 7.624134146350047825e-01 4.537352100767397811e-01 5.215387211552260371e-01 3.421022566302700518e-01 6.028753439670464509e-02 -2.685558309900155649e-01 -5.686674088618242084e-01 -2.300857589338014542e-01 4.191178535981925357e-01 6.178296408901255976e-01 -3.132541421017618344e-01 4.749568616127270992e-01 2.114055220255235401e-01 -9.980399016891710051e-01 2.796127536021140170e-01 -9.669056540698264257e-01 -9.058703484473538126e-01 -3.604847566378850399e-01 9.284582771354568109e-01 1.887434422665945633e-02 1.529684298482341109e-01 3.774507348690978592e-01 -3.823527130748529679e-01 -4.362401063158247716e-01 -8.242979052375771776e-01 -5.478339528929456748e-01 -9.927625472961298936e-01 -6.214093112086682691e-01 -9.142174996998988501e-01 1.972668464411206912e-01 4.209874317956523448e-01 -3.784634261806796296e-02 3.758694962989084232e-03 6.352233592142908503e-01 2.139927462587825069e-01 1.111291590825396192e-01 2.121720536342273089e-01 -4.630923614716035974e-01 -6.407805247211377786e-01 -1.485387683900130096e-01 -9.667332599787019642e-01 1.163159116284087080e-01 2.290138630375255779e-01 -3.097956596623545611e-01 5.816785937878663493e-01 5.740011404628209135e-01 -3.714895207059532023e-01 -3.184217642125815040e-01 7.056969405099300374e-02 -7.406459932291160619e-01 3.791018614447574375e-01 9.605175070774472079e-01 -3.833824257657223455e-01 9.502531685242574522e-01 5.965859976678313803e-01 2.748007207988669709e-01 -6.495232467107017182e-01 -3.901966189402858998e-01 -2.681834834353482577e-01 -2.834047304811742052e-01 -5.283066534337621523e-01 8.283237807253951424e-02 5.024918140603729100e-01 9.142755657223542443e-01 2.278028268063179151e-01 -5.238619094498384587e-01 -9.776393466015842471e-01 -4.389518307317421542e-01 9.572578353458587319e-01 -5.550997428237234299e-01 -6.067902769908011251e-01 -6.594810609004060353e-01 5.412082091654817351e-01 -8.708680487815447790e-01 8.677948613075441298e-01 -3.904895056749309035e-01 -5.294291678404912105e-01 -9.632222309594766774e-01 6.249430175118597663e-01 -3.339416191711477300e-01 1.995737017176475447e-01 -3.892053338317822408e-01 -4.550916400024773711e-01 2.918513404819138568e-01
1 237376.8125 -7.276369472754782297e-01 -8.581558968129954224e-03 2.240937132460367742e-01 -9.675076728577827190e-01 7.072638630248677671e-01 -8.647842522020752209e-01 7.641555349112840734e-01 1.192513969533832707e-01 9.461711001448431801e-01 1.776871976189970948e-01 7.974087759499823846e-01 -1.525835236559751618e-01 -7.538078730939412608e-01 3.740352165021683106e-01 2.544782084352379403e-01 2.603176562483020540e-01 7.724134153428099392e-01 4.637352098532223632e-01 5.115387213787434550e-01 3.521022564067526339e-01 7.028753417318722718e-02 -2.585558312135329828e-01 -5.586674100166642010e-01 -2.400857596416066109e-01 4.091178538217099536e-01 6.078296411136430155e-01 -3.032541423252792523e-01 4.649568618362445171e-01 2.214055218020061222e-01 -1.000000000000000000e+00 2.696127538256314349e-01 -9.769056538463090078e-01 -9.158703482238363947e-01 -3.704847573456901966e-01 9.384582769119393930e-01 8.874344450176874233e-03 1.629684296247166930e-01 3.674507350926152771e-01 -3.723527132983703858e-01 -4.462401070236299283e-01 -8.142979054610945955e-01 -5.578339536007508315e-01 -9.827625475196473115e-01 -6.114093114321856870e-01 -9.042174989920936934e-01 1.872668466646381091e-01 4.309874315721349269e-01 -2.784634284158538087e-02 1.375869473947166632e-02 6.252233594378082682e-01 2.239927460352650890e-01 1.011291593060570371e-01 2.221720534107098910e-01 -4.530923616951210153e-01 -6.507805254289429353e-01 -1.585387681664955917e-01 -9.567332602022193822e-01 1.263159114048912901e-01 2.390138628140081600e-01 -3.197956594388371432e-01 5.716785940113837672e-01 5.640011406863383314e-01 -3.614895199981480456e-01 -3.284217639890640861e-01 8.056969382747558583e-02 -7.506459930055986440e-01 3.691018616682748554e-01 9.505175073009646258e-01 -3.733824259892397635e-01 9.402531687477748701e-01 6.065859974443139624e-01 2.648007200910618142e-01 -6.395232469342191362e-01 -4.001966187167684819e-01 -2.581834836588656756e-01 -2.734047307046916231e-01 -5.183066527259569956e-01 9.283237784902209633e-02 5.124918138368554921e-01 9.042755659458716622e-01 2.178028270298353331e-01 -5.138619096733558766e-01 -9.876393463780668291e-01 -4.489518305082247362e-01 9.672578351223413140e-01 -5.650997416688834374e-01 -5.967902772143185430e-01 -6.694810606768886174e-01 5.312082093889991530e-01 -8.608680480737396223e-01 8.777948610840267119e-01 -3.804895058984483214e-01 -5.194291680640086284e-01 -9.532222311829940953e-01 6.149430177353771843e-01 -3.439416189476303121e-01 1.895737019411649626e-01 -3.792053340552996588e-01 -4.650916397789599532e-01 2.818513407054312747e-01
2 222341.421875 -7.184236440596765139e-01 -1.837757581770738113e-02 2.288276054037106100e-01 -9.633735687363063072e-01 6.997907490782511175e-01 -8.567578432391698140e-01 7.737960041270943723e-01 1.253285687223764100e-01 9.535448103077808213e-01 1.799165824641197897e-01 7.875109878947412767e-01 -1.589591195832136261e-01 -7.635915480567598834e-01 3.797071414136077294e-01 2.446389232701664529e-01 2.508906713123031373e-01 7.819715165274760960e-01 4.673458080094510247e-01 5.015956263428924533e-01 3.614678932621164797e-01 7.735498216709157937e-02 -2.485428329678764925e-01 -5.487554937979661762e-01 -2.350487271081695972e-01 3.991103308214696277e-01 5.984173431346457850e-01 -2.939808749741883442e-01 4.634759258798930581e-01 2.306801730984429089e-01 -9.956450089812278748e-01 2.596003562830355715e-01 -9.790151383605305568e-01 -9.254806993989062036e-01 -3.793403647062916217e-01 9.484328022220385179e-01 -7.642407000649775739e-04 1.721241538223428069e-01 3.640632797297886913e-01 -3.624018677960534340e-01 -4.556957468926046140e-01 -8.042958511870124116e-01 -5.678329000514015235e-01 -9.824423124560925924e-01 -6.016931042706399335e-01 -8.943444487270795218e-01 1.772613809559651088e-01 4.404611418930248767e-01 -1.786402981211732133e-02 2.259106653315900992e-02 6.153555245792119432e-01 2.325135466555825481e-01 9.212378875619942065e-02 2.317915855637202593e-01 -4.432534704794985903e-01 -6.605455115416567491e-01 -1.685138857977521720e-01 -9.468628632752202900e-01 1.323629697897568125e-01 2.489168197095383839e-01 -3.296218166808968508e-01 5.621692550140793276e-01 5.698593138145557901e-01 -3.518839018044024325e-01 -3.383648776513665801e-01 8.857712243631032933e-02 -7.606578056776176489e-01 3.593674247986535786e-01 9.409346720513618312e-01 -3.638609816611104719e-01 9.326485702144127199e-01 6.053272433892982196e-01 2.554015984638502434e-01 -6.298446326083977365e-01 -4.067461726624290730e-01 -2.632999528856432292e-01 -2.633918619128730043e-01 -5.090481077221256090e-01 1.028226304034387528e-01 5.223248647286125035e-01 8.944379245651443711e-01 2.215609492430201666e-01 -5.059329049445617787e-01 -9.959111066853192362e-01 -4.588542518932745562e-01 9.607231404283587128e-01 -5.748591435714398568e-01 -6.016495384290516668e-01 -6.749590078598419751e-01 5.229242031212131270e-01 -8.511251203362055762e-01 8.877615381387895521e-01 -3.709768020326817961e-01 -5.105649105793341747e-01 -9.432314766457097210e-01 6.160497943817155875e-01 -3.391619164294950028e-01 1.795909707478609008e-01 -3.712969581215332937e-01 -4.579989985780896777e-01 2.724782271924384158e-01
3 208200.203125 -7.088670264718717196e-01 -2.827721999883969772e-02 2.361059122790885034e-01 -9.650309509721686219e-01 6.933163207337331713e-01 -8.480846121217424649e-01 7.835828176469894490e-01 1.276274104409607091e-01 9.620983590237894845e-01 1.775290434461742617e-01 7.775437241067564287e-01 -1.627132443270775664e-01 -7.730432093156958118e-01 3.874550667659129033e-01 2.347172821811442933e-01 2.412764598051615472e-01 7.916885879563710926e-01 4.661033562904426386e-01 4.916015292888877841e-01 3.709575925289674281e-01 8.487513675129076951e-02 -2.411826847242704019e-01 -5.388797659805499851e-01 -2.277591717187354980e-01 3.891142966165097583e-01 5.887746638903659235e-01 -2.844150195977659390e-01 4.671939807332727845e-01 2.402575023689845768e-01 -9.890373940579593182e-01 2.500777664281395030e-01 -9.753014753915820734e-01 -9.352654351381373132e-01 -3.885832858426112590e-01 9.584417566650760278e-01 -1.051242016559728043e-02 1.816523111235899268e-01 3.676004836135409182e-01 -3.530918783958454377e-01 -4.653796557872627027e-01 -7.943459332819797769e-01 -5.775308514278396643e-01 -9.870794802451345884e-01 -5.918335376938610448e-01 -8.846355310273252837e-01 1.672942242700763416e-01 4.492043544513539821e-01 -7.846550973554355934e-03 3.187429437918543051e-02 6.054673347344248224e-01 2.416587571526638278e-01 8.449426430545026179e-02 2.404330744138369891e-01 -4.335275757005316866e-01 -6.704237613806049989e-01 -1.785254637764823737e-01 -9.369451663373016270e-01 1.300698773582562584e-01 2.556442576639343933e-01 -3.392248793254977191e-01 5.532968419376189662e-01 5.776734939204803965e-01 -3.423441513997464991e-01 -3.470567510527700072e-01 9.576582164451030721e-02 -7.705599737429271734e-01 3.495224390081028698e-01 9.312471431058562121e-01 -3.541491098061495535e-01 9.256696230108063528e-01 6.004678140708403777e-01 2.457277683420946435e-01 -6.203562176353771829e-01 -4.082449618397052671e-01 -2.707484980770802352e-01 -2.539050907241966470e-01 -4.995139266264658762e-01 1.128422931934391915e-01 5.322511521859594197e-01 8.845238951755245438e-01 2.284406426058820383e-01 -4.970801343925226323e-01 -1.000000000000000000e+00 -4.685030229185149775e-01 9.526001765975300462e-01 -5.841627580686246102e-01 -6.090600078940093809e-01 -6.769614638524661387e-01 5.173902918334285506e-01 -8.418355604279943449e-01 8.977646010352200445e-01 -3.612500997970427008e-01 -5.045899617074534049e-01 -9.334351710861341633e-01 6.219474965652900256e-01 -3.317871571316770574e-01 1.695736940062966269e-01 -3.654033518946420145e-01 -4.496102045508207912e-01 2.628484914693005603e-01
4 195277.6875 -6.991776441944426157e-01 -3.824108632207234848e-02 2.440479443480563226e-01 -9.667127430562962864e-01 6.887555484041643084e-01 -8.391030135806019086e-01 7.931563722671362004e-01 1.253333783049823680e-01 9.703183675982156586e-01 1.730630560059756018e-01 7.675960488264834680e-01 -1.605256593345794069e-01 -7.816854730261946216e-01 3.960378487662161717e-01 2.247497473782902322e-01 2.315056734154530282e-01 8.014836529942772625e-01 4.676046896081620385e-01 4.815874432584641429e-01 3.806629022850676058e-01 9.310154723709485047e-02 -2.392804051638162122e-01 -5.289395617699705898e-01 -2.194563452843616425e-01 3.791773380651028980e-01 5.790021834248941790e-01 -2.746682631931276486e-01 4.732203833147559102e-01 2.500099612617472378e-01 -9.812651132233440876e-01 2.406068416930702281e-01 -9.694625135854337827e-01 -9.451655468432020868e-01 -3.981035017562646328e-01 9.683328922831666574e-01 -2.013775538957007782e-02 1.913265659284395515e-01 3.676601319249759303e-01 -3.516915669183631188e-01 -4.751738295494649655e-01 -7.844154930572726503e-01 -5.872650731619462050e-01 -9.934503245645973646e-01 -5.819382148494749440e-01 -8.748918293607317320e-01 1.573865865472861003e-01 4.571073054311232120e-01 2.185790841976897880e-03 4.117088763548015784e-02 5.956301310753076006e-01 2.511008257890812168e-01 7.910811153508001681e-02 2.470809429614255759e-01 -4.237368767028553140e-01 -6.802488224559943841e-01 -1.885513301061523261e-01 -9.270094324750803860e-01 1.240816245433971066e-01 2.557133738770605014e-01 -3.482170604850536311e-01 5.449147301498229456e-01 5.863161832453958056e-01 -3.330029198524504519e-01 -3.498853560601502544e-01 1.025407770736470603e-01 -7.803533437737475431e-01 3.395909808478216885e-01 9.214147460025465808e-01 -3.443014334246807806e-01 9.206820162320654699e-01 5.941053968236940097e-01 2.359483523174097375e-01 -6.115510488427717828e-01 -4.044675088623310710e-01 -2.791728695580220077e-01 -2.456817424270179018e-01 -4.897977604431134058e-01 1.228573627005016267e-01 5.422452334074803204e-01 8.745378903833707085e-01 2.362681555257848398e-01 -4.878197062544453733e-01 -1.000000000000000000e+00 -4.777841385249421702e-01 9.437957891845647485e-01 -5.931857790439163391e-01 -6.173946585520804220e-01 -6.788382279683435883e-01 5.142257108102719076e-01 -8.334526029993005736e-01 9.076706136001175818e-01 -3.514654543961013289e-01 -5.037701488294183960e-01 -9.244162609686867871e-01 6.294579747079389609e-01 -3.234059561773590108e-01 1.595189352563943785e-01 -3.620902011721085501e-01 -4.406293631749333972e-01 2.530514669286973994e-01
5 183467.71875 -6.900188457009976961e-01 -4.827098527849038589e-02 2.496936525290203157e-01 -9.676734809305620466e-01 6.832652178905975759e-01 -8.299236738364512700e-01 8.020006612644883237e-01 1.219781772040517964e-01 9.769078389607468438e-01 1.674184607554882742e-01 7.577576540057933130e-01 -1.556404905884656298e-01 -7.897996526224995151e-01 4.051134745658124814e-01 2.148815427846317849e-01 2.217674563075013872e-01 8.106881319286844967e-01 4.669791100484521618e-01 4.717759245446322414e-01 3.904047655208988665e-01 1.018650225806798648e-01 -2.420484928302979455e-01 -5.191575557372056782e-01 -2.117843194622586189e-01 3.694016072838457454e-01 5.693797194684189211e-01 -2.648293524197311566e-01 4.801115370675597127e-01 2.598193612167218891e-01 -9.737226702272891998e-01 2.320194459207323145e-01 -9.628523165703271047e-01 -9.550307218445253099e-01 -4.076906955955166278e-01 9.774922858917367563e-01 -2.825947497343905823e-02 2.005734479796690284e-01 3.627168179165611850e-01 -3.549710482343484408e-01 -4.843085449724529035e-01 -7.744648906301476732e-01 -5.964289101105197943e-01 -1.000000000000000000e+00 -5.722951304798751249e-01 -8.650825737607561461e-01 1.481229285825200748e-01 4.638952691083209068e-01 1.214786250660826461e-02 5.032551473511337470e-02 5.863713411336390902e-01 2.602488116274348506e-01 7.578262567787641402e-02 2.491079644496003720e-01 -4.138275802945596826e-01 -6.896599683889668153e-01 -1.985117095576656165e-01 -9.173373998058937939e-01 1.166457565148457665e-01 2.511519524156571315e-01 -3.558655359532123530e-01 5.360211844328219843e-01 5.953820720674745104e-01 -3.250943436843305445e-01 -3.464883406710952407e-01 1.104234196333542251e-01 -7.902311307453762090e-01 3.296895187250237225e-01 9.115592167091286502e-01 -3.346714378625446074e-01 9.152463981257896730e-01 5.868953060672776889e-01 2.262335868432094887e-01 -6.034757398567636155e-01 -3.983085082979644920e-01 -2.880280615487551543e-01 -2.397863629619445547e-01 -4.803056406688910318e-01 1.327559265474473893e-01 5.521658584235735745e-01 8.645213633564790001e-01 2.430592088656238214e-01 -4.783454948820102803e-01 -1.000000000000000000e+00 -4.867437289823219881e-01 9.345694688731376321e-01 -6.021802391498123352e-01 -6.262886578231752210e-01 -6.793399756771112408e-01 5.113866326148788222e-01 -8.264478046093293173e-01 9.173811974359578070e-01 -3.420427982474292250e-01 -5.072045035016268244e-01 -9.158565198888795056e-01 6.377980875729101218e-01 -3.146425301938704511e-01 1.494502150497760695e-01 -3.627449060991096985e-01 -4.314050349624933833e-01 2.431523731592066806e-01
6 172994.8125 -6.815890092191880800e-01 -5.836985891610702026e-02 2.519904155356180731e-01 -9.665859654320505534e-01 6.762943825066161097e-01 -8.205286826248581189e-01 8.095666583397778115e-01 1.176029518053622880e-01 9.798174373671511006e-01 1.616869563449829794e-01 7.481260947530543604e-01 -1.497156603752765047e-01 -7.977343039600635066e-01 4.144823626682843098e-01 2.054056531689172349e-01 2.122423528129764314e-01 8.183708325701377628e-01 4.622599076417477360e-01 4.624895655921099635e-01 3.998826239525361537e-01 1.107275859895910930e-01 -2.471148121990776048e-01 -5.093723962462031185e-01 -2.056627347823272167e-01 3.600343275754602779e-01 5.601039338210862528e-01 -2.549702878258199856e-01 4.872190249472532209e-01 2.694973292046765057e-01 -9.687150456011295319e-01 2.229803763948348116e-01 -9.570995170034919397e-01 -9.646116413635921205e-01 -4.162495016274589954e-01 9.851900958449792967e-01 -3.541009379854687111e-02 2.091433563080233871e-01 3.559824234481940852e-01 -3.607722234896768576e-01 -4.924713871046040303e-01 -7.646325885217406526e-01 -6.053510353233679808e-01 -1.000000000000000000e+00 -5.634614324828415288e-01 -8.552152893138014189e-01 1.405230877105303477e-01 4.690717974652902633e-01 2.187671889136244552e-02 5.978140978647350501e-02 5.775821333473174501e-01 2.688331908459535846e-01 7.432563553831750269e-02 2.481031330498317811e-01 -4.038218463649851930e-01 -6.977685870581786798e-01 -2.081751703338754478e-01 -9.082334366543196591e-01 1.083822672833785195e-01 2.446400141231239722e-01 -3.619055228057688200e-01 5.267655544686491442e-01 6.045949785398594400e-01 -3.192243194763511038e-01 -3.406309396092921382e-01 1.188280321745529555e-01 -8.002051475533495939e-01 3.200440985984067677e-01 9.017772684183633647e-01 -3.254984618455463163e-01 9.101084912503283331e-01 5.791676421032445621e-01 2.166819313420822457e-01 -5.962949340730447911e-01 -3.908850547993327762e-01 -2.967874427983021590e-01 -2.372509324802871689e-01 -4.714676977035623384e-01 1.421775247136747300e-01 5.618093814461060376e-01 8.546187221793015709e-01 2.472576343150547640e-01 -4.686538243450153463e-01 -1.000000000000000000e+00 -4.950616474990174876e-01 9.251042708405796677e-01 -6.111477383984957878e-01 -6.355606772020161443e-01 -6.800494177496592130e-01 5.097111675870771297e-01 -8.202295360732980711e-01 9.265202137065953192e-01 -3.334357580880249472e-01 -5.127859844182163229e-01 -9.081377109398858227e-01 6.466818367077487029e-01 -3.061633568986705800e-01 1.394089083231415671e-01 -3.662261384274501097e-01 -4.221211440147938365e-01 2.331669606882103007e-01
7 163728.171875 -6.740660290022975065e-01 -6.851697320044358719e-02 2.510215152592700782e-01 -9.639237784555283461e-01 6.683765434041690767e-01 -8.108893663863951939e-01 8.158360625387521825e-01 1.119054360122175851e-01 9.792286232212656927e-01 1.568345329005926825e-01 7.386362241228496828e-01 -1.432521997510585177e-01 -8.058083416907573238e-01 4.239033210159028897e-01 1.970375186703210435e-01 2.032329775760479684e-01 8.240035134109280346e-01 4.557324623626859417e-01 4.536987428924439403e-01 4.090023618458791255e-01 1.199755800399746608e-01 -2.533787513971841321e-01 -4.997030252969347774e-01 -2.021895865667651115e-01 3.512477433248313297e-01 5.513249128410857569e-01 -2.451264289355845616e-01 4.943749783880684312e-01 2.792655162730792728e-01 -9.667310453951358795e-01 2.136094049237635684e-01 -9.524501689121578352e-01 -9.736257048783611978e-01 -4.232354793851811348e-01 9.913506233127069578e-01 -4.093117984315641777e-02 2.170910657194060622e-01 3.482282754641066180e-01 -3.678094924412120825e-01 -4.993799733533594853e-01 -7.549878929640867486e-01 -6.145363895487054862e-01 -1.000000000000000000e+00 -5.556361817454724683e-01 -8.453585222926818243e-01 1.351060457643278312e-01 4.731613671382324249e-01 3.138345204810311095e-02 6.942494305355428885e-02 5.694828958903996874e-01 2.762108954514137515e-01 7.360412730870047326e-02 2.448570710802833172e-01 -3.937800329988700998e-01 -7.041409419828574823e-01 -2.174968562142980399e-01 -8.996687437323831471e-01 9.958967879611102525e-02 2.370563535838843272e-01 -3.660861781548148119e-01 5.172282413351709796e-01 6.136869555698982737e-01 -3.154206250884532547e-01 -3.334418101300626880e-01 1.275991611270561599e-01 -8.102062723675023115e-01 3.109259067005376576e-01 8.924345588621414027e-01 -3.169869576871686689e-01 9.041968848863761732e-01 5.712433126137750339e-01 2.074651067956259087e-01 -5.901945169582505368e-01 -3.827061864683176662e-01 -3.050214398377990577e-01 -2.378995346832875057e-01 -4.635694852930527521e-01 1.509915801862871110e-01 5.707089807598419995e-01 8.449720186901767960e-01 2.480644742188713447e-01 -4.588701801158416860e-01 -1.000000000000000000e+00 -5.026488885078952418e-01 9.155743095675055176e-01 -6.197650696723495667e-01 -6.451108882218301588e-01 -6.794741351969140197e-01 5.083932239079083093e-01 -8.146962329391547186e-01 9.346449191106385168e-01 -3.258254533412481280e-01 -5.196208187666266909e-01 -9.004658969936685242e-01 6.558536113186257399e-01 -2.992782143674246331e-01 1.295744027055230063e-01 -3.714649024154681456e-01 -4.129408515276493663e-01 2.231724696847565692e-01
8 155518.34375 -6.669321176385170080e-01 -7.867529688328822601e-02 2.481286503912252250e-01 -9.602728477453914557e-01 6.602781031593751848e-01 -8.010945406983907002e-01 8.211933154383095346e-01 1.050677760311158337e-01 9.774684339162060809e-01 1.516221672509521223e-01 7.292311597262894907e-01 -1.363765227167996752e-01 -8.140151087208176151e-01 4.331419934586371312e-01 1.891844539842610917e-01 1.949698962638684030e-01 8.283169786187432049e-01 4.482776964021117916e-01 4.453600279426572772e-01 4.168664748116417407e-01 1.290741387266483020e-01 -2.597937054820871339e-01 -4.902929531788908779e-01 -2.004954190682659565e-01 3.429898541360052455e-01 5.429477389255803477e-01 -2.353011685571642087e-01 5.014485470339331563e-01 2.889050550976375309e-01 -9.670484324160497636e-01 2.043520976476338458e-01 -9.483428002678309099e-01 -9.821882902173113550e-01 -4.267045002119231878e-01 9.967102115036201582e-01 -4.510671012407430069e-02 2.246645222228569327e-01 3.398924969743977176e-01 -3.751857758484233862e-01 -5.051394057995710618e-01 -7.455633080463626161e-01 -6.240291407596334494e-01 -1.000000000000000000e+00 -5.483649161344199552e-01 -8.356191102978669516e-01 1.319378961458959054e-01 4.772527850208239109e-01 4.067858312795569198e-02 7.897415662689089011e-02 5.623768934702126909e-01 2.831696455280057201e-01 7.251832032145211215e-02 2.399910377534488770e-01 -3.838729503443343294e-01 -7.091336393707912134e-01 -2.266661749275458160e-01 -8.915032138032816800e-01 9.074891392338124696e-02 2.287724264785171435e-01 -3.680320140422692621e-01 5.074777931678469134e-01 6.224758196981898806e-01 -3.133432970472573853e-01 -3.254479136382371074e-01 1.367594683630719565e-01 -8.199404903763185537e-01 3.023578172451715229e-01 8.839769698989308200e-01 -3.092024336859875433e-01 8.987065608920674631e-01 5.638024051987724494e-01 1.983224788560440377e-01 -5.842029775060255670e-01 -3.742424023473407413e-01 -3.126869929680085036e-01 -2.400816146280471131e-01 -4.566488677536171270e-01 1.596760858948027550e-01 5.787102598457165570e-01 8.356188624886353722e-01 2.470355659186578290e-01 -4.492529650933969609e-01 -1.000000000000000000e+00 -5.098360552247986899e-01 9.063770074048582703e-01 -6.276558026312624161e-01 -6.547176398351490789e-01 -6.769003912686901714e-01 5.082803281122985073e-01 -8.092025077548035128e-01 9.423324519192701754e-01 -3.191396869497920008e-01 -5.272228068028121939e-01 -8.924846301672773041e-01 6.651975362508075751e-01 -2.948328445463828107e-01 1.202052482447948378e-01 -3.774938842948216688e-01 -4.036927978726210231e-01 2.136524214091666263e-01
9 148049.359375 -6.602871073199099161e-01 -8.872312286794503677e-02 2.440972716153901878e-01 -9.581134902088073169e-01 6.518934795945954264e-01 -7.914640180076772946e-01 8.259948565394970021e-01 9.794560026309806489e-02 9.752041738346317601e-01 1.471866321962982394e-01 7.198674656098162927e-01 -1.300382895886096346e-01 -8.224815629436159625e-01 4.418218500048602948e-01 1.815966281048064790e-01 1.875901492680021043e-01 8.313566415777973173e-01 4.412329167996735801e-01 4.373127145132420512e-01 4.236507527797503947e-01 1.380942213792171191e-01 -2.659007079788064942e-01 -4.813031496858679592e-01 -2.012170068677554546e-01 3.350476618795545924e-01 5.350447767699402224e-01 -2.257967376298279927e-01 5.071388241223666604e-01 2.981148341888169018e-01 -9.708074354275595397e-01 1.953010168544915270e-01 -9.451884058181647674e-01 -9.901958352414679254e-01 -4.274636302646797059e-01 1.000000000000000000e+00 -4.924310855871327774e-02 2.316868350651664077e-01 3.313471681114326106e-01 -3.823012093066622263e-01 -5.102824200480315930e-01 -7.363061507131674066e-01 -6.331388268884285964e-01 -1.000000000000000000e+00 -5.412209679072528257e-01 -8.259252129685961119e-01 1.293800086829968166e-01 4.822660557900921852e-01 4.983928431342055099e-02 8.856737239791034888e-02 5.567098789570479322e-01 2.887352562422624835e-01 6.989735764020332809e-02 2.349113324853042695e-01 -3.742309183692438257e-01 -7.132968086728375123e-01 -2.356005060540569129e-01 -8.836782620204590710e-01 8.248499907749740068e-02 2.201213692202688144e-01 -3.696683084574898803e-01 4.975466190609509898e-01 6.308172997447005770e-01 -3.111412060071676589e-01 -3.168525597144991046e-01 1.462469576014533423e-01 -8.288407183327923811e-01 2.941759258410792111e-01 8.764343625244415126e-01 -3.023481724143319838e-01 8.923520719939987966e-01 5.587987978325383853e-01 1.895253576218058900e-01 -5.775703789233703755e-01 -3.658427444422389652e-01 -3.191410118439650390e-01 -2.422074028752598807e-01 -4.503073992108028722e-01 1.680919963101541459e-01 5.857459977029391140e-01 8.265226088253339043e-01 2.445332923833019034e-01 -4.400618878908384435e-01 -1.000000000000000000e+00 -5.174245898407325850e-01 8.978875923553053529e-01 -6.353322727246915047e-01 -6.644186971723735624e-01 -6.737737879503118421e-01 5.077098479826169797e-01 -8.032392250951536639e-01 9.498242551816529211e-01 -3.131323555263305636e-01 -5.348570511963695040e-01 -8.840000393686608948e-01 6.743510532139318503e-01 -2.929435250380463263e-01 1.112813609696354789e-01 -3.832592483345109713e-01 -3.949166611986341113e-01 2.045918895545371097e-01
