iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 1506.310302734375 -3.518089056015014648e-01 -3.926627635955810547e-01 -5.259463191032409668e-01 -3.325184285640716553e-01 1.433819383382797241e-01 7.739352583885192871e-01 4.168443381786346436e-01 3.324178457260131836e-01 9.574401974678039551e-01 8.395307660102844238e-01 2.546408772468566895e-01 9.336872696876525879e-01 -4.372633397579193115e-01 -6.137512326240539551e-01 4.983311295509338379e-01 7.952373027801513672e-01 -8.501319289207458496e-01 -9.969273805618286133e-01 -8.378060460090637207e-01 5.719423890113830566e-01 -8.578643202781677246e-01 8.005785197019577026e-02 8.791217952966690063e-02 6.119325757026672363e-01 -4.395765960216522217e-01 -6.187074780464172363e-01 9.087367057800292969e-01 -4.397371113300323486e-01 6.933387368917465210e-02 -4.899237155914306641e-01 -1.857658624649047852e-01 6.744257807731628418e-01 -5.223980545997619629e-01 -9.674227237701416016e-01 -5.877396464347839355e-02 -8.875646591186523438e-01 -3.295155763626098633e-01 9.151080250740051270e-01 4.152676463127136230e-01 1.519877463579177856e-02 4.871374368667602539e-01 2.424455434083938599e-01 6.764020919799804688e-01 -1.246924251317977905e-01 8.893181681632995605e-01 7.219666987657546997e-02 -2.516053318977355957e-01 7.148268073797225952e-02 5.481063127517700195e-01 -1.688522994518280029e-01 -8.238296210765838623e-02 -4.819313287734985352e-01 -6.169763207435607910e-01 -2.734855711460113525e-01 -5.378417968750000000e-01 6.922799348831176758e-01 -4.568509161472320557e-01 -5.903469920158386230e-01 -6.364472508430480957e-01 4.580079019069671631e-01 -6.997641324996948242e-01 -2.434235215187072754e-01 6.482277065515518188e-03 5.597770959138870239e-02 -6.497869491577148438e-01 5.241042971611022949e-01 5.554141942411661148e-03 -4.783118069171905518e-01 -7.778405547142028809e-01 -7.896666526794433594e-01 2.472891509532928467e-01 -6.090954542160034180e-01 -8.257870078086853027e-01 8.601904511451721191e-01 7.934736609458923340e-01 9.389987587928771973e-01 -8.835902810096740723e-01 -6.376323699951171875e-01 -1.827258057892322540e-02 -3.297331035137176514e-01 6.080615520477294922e-01 -9.854868650436401367e-01 -6.508382558822631836e-01 9.418023228645324707e-01 3.459046483039855957e-01 -4.352464675903320312e-01 9.161934256553649902e-01 -3.240704238414764404e-01 -1.163905486464500427e-01 -3.401894271373748779e-01 2.634714841842651367e-01 -9.172280430793762207e-01 -3.013909757137298584e-01 -9.495651721954345703e-01 -6.885721683502197266e-01 -6.751421093940734863e-02 9.710310399532318115e-02 3.678494691848754883e-01 4.039850831031799316e-01 -7.022379636764526367e-01
1 851.6406860351562 -1.183059439063072205e-01 -5.271998047828674316e-01 -2.216634601354598999e-01 -1.156647279858589172e-01 2.229462116956710815e-01 2.861116230487823486e-01 3.229209035634994507e-02 1.205820366740226746e-01 9.592105150222778320e-01 5.047720670700073242e-01 4.150720238685607910e-01 5.004974007606506348e-01 -2.011744081974029541e-01 -7.051709890365600586e-01 1.959893703460693359e-01 8.852764964103698730e-01 -8.737402558326721191e-01 -6.544719338417053223e-01 -4.426873624324798584e-01 2.597157061100006104e-01 -9.040861129760742188e-01 -1.805397719144821167e-01 2.690108120441436768e-01 6.953790187835693359e-01 -2.007683366537094116e-01 -3.374370038509368896e-01 5.493459701538085938e-01 -2.039228975772857666e-01 2.483690977096557617e-01 -5.852147936820983887e-01 -3.177685737609863281e-01 3.956075012683868408e-01 -1.530386209487915039e-01 -5.269555449485778809e-01 1.210082694888114929e-01 -5.167882442474365234e-01 -3.939166963100433350e-01 6.043576598167419434e-01 4.753219187259674072e-01 1.504182219505310059e-01 1.378506422042846680e-01 4.735063612461090088e-01 3.343651592731475830e-01 -2.273714542388916016e-01 5.667254328727722168e-01 1.944808065891265869e-01 -2.558175101876258850e-02 -1.390628218650817871e-01 1.924618780612945557e-01 -3.692928850650787354e-01 -2.841347754001617432e-01 -2.186152786016464233e-01 -6.798852086067199707e-01 -4.366549104452133179e-02 -2.649528980255126953e-01 7.332293391227722168e-01 -5.881599187850952148e-01 -6.224502325057983398e-01 -2.862661480903625488e-01 1.819057613611221313e-01 -7.756428122520446777e-01 7.447438780218362808e-03 9.601847082376480103e-02 -1.369413137435913086e-01 -6.625600457191467285e-01 1.520481258630752563e-01 -2.316646575927734375e-01 -2.086171805858612061e-01 -7.599841952323913574e-01 -8.625727295875549316e-01 1.670948811806738377e-03 -2.820584177970886230e-01 -5.594412088394165039e-01 4.737226963043212891e-01 4.002918004989624023e-01 6.431879401206970215e-01 -5.749621391296386719e-01 -7.136073708534240723e-01 -2.348317354917526245e-01 -8.420879393815994263e-02 3.544658124446868896e-01 -5.442395210266113281e-01 -6.228886246681213379e-01 6.112028360366821289e-01 5.010876059532165527e-02 -1.450870782136917114e-01 5.421418547630310059e-01 -1.661575436592102051e-01 -2.537353895604610443e-02 -1.189656108617782593e-01 -2.220787294209003448e-02 -5.239950418472290039e-01 -5.391550660133361816e-01 -5.881228446960449219e-01 -3.663291335105895996e-01 -2.625230550765991211e-01 -2.012358903884887695e-01 1.028425097465515137e-01 5.016293525695800781e-01 -3.318616449832916260e-01
2 802.919921875 -1.473610997200012207e-01 -5.470758676528930664e-01 -2.494433969259262085e-01 -1.454156637191772461e-01 1.855182498693466187e-01 2.493546158075332642e-01 4.094227217137813568e-03 1.484817266464233398e-01 9.219138026237487793e-01 5.226287841796875000e-01 4.377126395702362061e-01 4.517774283885955811e-01 -2.245869487524032593e-01 -6.380857229232788086e-01 1.477181017398834229e-01 8.101480603218078613e-01 -8.057516217231750488e-01 -6.631406545639038086e-01 -3.922427892684936523e-01 2.846273779869079590e-01 -8.312628865242004395e-01 -2.110056281089782715e-01 2.977905571460723877e-01 6.279187798500061035e-01 -2.232115119695663452e-01 -3.604021668434143066e-01 4.865941703319549561e-01 -2.306183129549026489e-01 2.764924168586730957e-01 -5.252519249916076660e-01 -2.714788317680358887e-01 4.155054688453674316e-01 -1.145594790577888489e-01 -4.769147932529449463e-01 7.839666306972503662e-02 -5.338968038558959961e-01 -3.464662730693817139e-01 6.140240430831909180e-01 4.229556918144226074e-01 1.133165284991264343e-01 1.009520292282104492e-01 4.866281449794769287e-01 3.572921752929687500e-01 -1.868168860673904419e-01 5.805255174636840820e-01 1.536720544099807739e-01 -5.876534804701805115e-02 -9.493134915828704834e-02 1.500327438116073608e-01 -3.891152739524841309e-01 -3.089588582515716553e-01 -1.670789569616317749e-01 -6.938889026641845703e-01 -7.930403947830200195e-02 -2.869414389133453369e-01 7.466676831245422363e-01 -5.208968520164489746e-01 -5.668035745620727539e-01 -2.428522109985351562e-01 2.108685374259948730e-01 -7.095119953155517578e-01 -2.786613255739212036e-02 6.264242529869079590e-02 -9.222088754177093506e-02 -6.025471687316894531e-01 1.125141978263854980e-01 -2.520770430564880371e-01 -2.318473458290100098e-01 -6.969938874244689941e-01 -8.657516241073608398e-01 -3.846989572048187256e-02 -3.097182214260101318e-01 -5.650005936622619629e-01 4.182771146297454834e-01 3.496523499488830566e-01 6.538213491439819336e-01 -5.836811661720275879e-01 -6.513841748237609863e-01 -2.641034126281738281e-01 -4.120094329118728638e-02 3.661516010761260986e-01 -4.897568821907043457e-01 -5.723479986190795898e-01 6.202521324157714844e-01 1.626345701515674591e-02 -1.039967313408851624e-01 5.596730113029479980e-01 -1.882384419441223145e-01 -5.888832733035087585e-02 -1.472720205783843994e-01 -5.858289077877998352e-02 -5.455489158630371094e-01 -5.534622073173522949e-01 -5.994589924812316895e-01 -3.142047822475433350e-01 -2.149810940027236938e-01 -2.238516658544540405e-01 6.058452278375625610e-02 4.511979520320892334e-01 -2.841305136680603027e-01
3 762.0389404296875 -1.298460811376571655e-01 -5.545813441276550293e-01 -2.623329162597656250e-01 -1.263708472251892090e-01 1.945862621068954468e-01 2.566425800323486328e-01 1.571511477231979370e-02 1.301069557666778564e-01 9.215119481086730957e-01 5.315639376640319824e-01 4.456581473350524902e-01 4.576279222965240479e-01 -2.078437954187393188e-01 -6.110580563545227051e-01 1.308478564023971558e-01 7.807127237319946289e-01 -8.078476786613464355e-01 -6.370909810066223145e-01 -4.021669328212738037e-01 2.634254992008209229e-01 -8.016919493675231934e-01 -2.241140156984329224e-01 3.083445131778717041e-01 6.005802154541015625e-01 -2.056817710399627686e-01 -3.388459980487823486e-01 4.628907144069671631e-01 -2.099924534559249878e-01 2.537189126014709473e-01 -4.983685612678527832e-01 -2.830462157726287842e-01 3.923358321189880371e-01 -1.262834221124649048e-01 -4.821149706840515137e-01 6.056560948491096497e-02 -5.080833435058593750e-01 -3.567339479923248291e-01 5.885813832283020020e-01 4.304030537605285645e-01 1.258882433176040649e-01 1.154864355921745300e-01 4.630407989025115967e-01 3.358657360076904297e-01 -1.982552558183670044e-01 5.543879270553588867e-01 1.639334857463836670e-01 -4.214438796043395996e-02 -7.564185559749603271e-02 1.625923514366149902e-01 -3.646003603935241699e-01 -2.867672145366668701e-01 -1.506194323301315308e-01 -6.985160112380981445e-01 -9.525492042303085327e-02 -2.685910761356353760e-01 7.486726045608520508e-01 -4.962457120418548584e-01 -5.701228976249694824e-01 -2.554808259010314941e-01 1.913410276174545288e-01 -6.788272261619567871e-01 -1.134465821087360382e-02 7.506614923477172852e-02 -7.158127427101135254e-02 -6.078188419342041016e-01 1.256275475025177002e-01 -2.336967289447784424e-01 -2.134098708629608154e-01 -6.998273134231567383e-01 -8.696455955505371094e-01 -5.405960232019424438e-02 -3.210505545139312744e-01 -5.448405146598815918e-01 3.940630555152893066e-01 3.602031469345092773e-01 6.274261474609375000e-01 -5.588375329971313477e-01 -6.477947831153869629e-01 -2.768723368644714355e-01 -2.395046316087245941e-02 3.498122096061706543e-01 -4.961181581020355225e-01 -5.733281373977661133e-01 5.944042205810546875e-01 3.137787431478500366e-02 -1.186506375670433044e-01 5.674861669540405273e-01 -1.739107668399810791e-01 -7.858168333768844604e-02 -1.279203593730926514e-01 -7.454533129930496216e-02 -5.539466738700866699e-01 -5.279595255851745605e-01 -5.719012618064880371e-01 -2.922443449497222900e-01 -2.284926176071166992e-01 -2.036226540803909302e-01 4.095775261521339417e-02 4.580719172954559326e-01 -2.942926585674285889e-01
4 747.9933471679688 -1.394699960947036743e-01 -5.366945862770080566e-01 -2.711618542671203613e-01 -1.363836079835891724e-01 1.817874759435653687e-01 2.430908977985382080e-01 4.816746804863214493e-03 1.398940384387969971e-01 8.993244171142578125e-01 5.374371409416198730e-01 4.291511178016662598e-01 4.414421916007995605e-01 -2.162548452615737915e-01 -6.152451038360595703e-01 1.402648687362670898e-01 7.591109275817871094e-01 -7.870792150497436523e-01 -6.409894227981567383e-01 -3.859310150146484375e-01 2.717691361904144287e-01 -8.033805489540100098e-01 -2.333938181400299072e-01 2.933874726295471191e-01 5.809860825538635254e-01 -2.139816731214523315e-01 -3.461279273033142090e-01 4.685350060462951660e-01 -2.189592719078063965e-01 2.389619648456573486e-01 -5.040099024772644043e-01 -2.682631909847259521e-01 3.992204368114471436e-01 -1.133010238409042358e-01 -4.653365910053253174e-01 4.788237065076828003e-02 -5.040144920349121094e-01 -3.411540091037750244e-01 5.927500724792480469e-01 4.139572083950042725e-01 1.133032888174057007e-01 1.029042899608612061e-01 4.685223996639251709e-01 3.433548212051391602e-01 -1.849420070648193359e-01 5.594171881675720215e-01 1.508315056562423706e-01 -5.281779542565345764e-02 -6.259796023368835449e-02 1.492109298706054688e-01 -3.719566762447357178e-01 -2.951768636703491211e-01 -1.597800999879837036e-01 -7.024927735328674316e-01 -1.061351597309112549e-01 -2.762298882007598877e-01 7.310571074485778809e-01 -4.778046011924743652e-01 -5.523395538330078125e-01 -2.645624577999114990e-01 2.004979550838470459e-01 -6.592102646827697754e-01 -2.243217267096042633e-02 6.300869584083557129e-02 -5.859739333391189575e-02 -5.892650485038757324e-01 1.126787811517715454e-01 -2.416567504405975342e-01 -2.220134586095809937e-01 -6.800015568733215332e-01 -8.710170984268188477e-01 -6.571404635906219482e-02 -3.055360019207000732e-01 -5.486266016960144043e-01 4.009852409362792969e-01 3.443934321403503418e-01 6.313041448593139648e-01 -5.631096363067626953e-01 -6.285586953163146973e-01 -2.620436847209930420e-01 -3.514323756098747253e-02 3.555469810962677002e-01 -4.787762463092803955e-01 -5.560885667800903320e-01 5.986644029617309570e-01 4.354443773627281189e-02 -1.262836456298828125e-01 5.728428959846496582e-01 -1.825952231884002686e-01 -8.904152363538742065e-02 -1.379299610853195190e-01 -8.564465492963790894e-02 -5.593298077583312988e-01 -5.332324504852294922e-01 -5.763263106346130371e-01 -2.766767740249633789e-01 -2.141281068325042725e-01 -2.124535888433456421e-01 2.880385331809520721e-02 4.416441023349761963e-01 -2.794552445411682129e-01
5 736.095703125 -1.272086948156356812e-01 -5.416799783706665039e-01 -2.790045440196990967e-01 -1.241555139422416687e-01 1.905918717384338379e-01 2.512356340885162354e-01 1.552544627338647842e-02 1.276281774044036865e-01 9.004077315330505371e-01 5.424145460128784180e-01 4.352937638759613037e-01 4.474525749683380127e-01 -2.031673043966293335e-01 -5.978642106056213379e-01 1.279950141906738281e-01 7.401819825172424316e-01 -7.893703579902648926e-01 -6.393650174140930176e-01 -3.802242279052734375e-01 2.580842375755310059e-01 -7.839752435684204102e-01 -2.416429072618484497e-01 3.009909987449645996e-01 5.639738440513610840e-01 -2.009185850620269775e-01 -3.316428661346435547e-01 4.527328014373779297e-01 -2.153990864753723145e-01 2.256300747394561768e-01 -4.878259599208831787e-01 -2.761370539665222168e-01 3.902313709259033203e-01 -1.136879250407218933e-01 -4.710898399353027344e-01 3.660659864544868469e-02 -4.878304898738861084e-01 -3.482435345649719238e-01 5.756112337112426758e-01 3.987422883510589600e-01 1.228446140885353088e-01 1.125575155019760132e-01 4.527203142642974854e-01 3.288996219635009766e-01 -1.937124580144882202e-01 5.641580820083618164e-01 1.392551511526107788e-01 -4.148891568183898926e-02 -5.116384103894233704e-02 1.475800126791000366e-01 -3.787147700786590576e-01 -3.027611374855041504e-01 -1.473002433776855469e-01 -7.056940793991088867e-01 -1.157536208629608154e-01 -2.624969780445098877e-01 7.339510917663574219e-01 -4.619026482105255127e-01 -5.571566224098205566e-01 -2.724761664867401123e-01 1.875799596309661865e-01 -6.413562893867492676e-01 -1.143025979399681091e-02 7.309121638536453247e-02 -4.720632359385490417e-02 -5.936847925186157227e-01 1.007057651877403259e-01 -2.282958626747131348e-01 -2.088639438152313232e-01 -6.619238257408142090e-01 -8.724050521850585938e-01 -7.576745748519897461e-02 -2.914877533912658691e-01 -5.319625735282897949e-01 3.859098851680755615e-01 3.377586901187896729e-01 6.268862485885620117e-01 -5.462897419929504395e-01 -6.110345125198364258e-01 -2.699844837188720703e-01 -2.400454692542552948e-02 3.409605622291564941e-01 -4.628638327121734619e-01 -5.608652830123901367e-01 5.814619064331054688e-01 5.383640527725219727e-02 -1.141642332077026367e-01 5.774393081665039062e-01 -1.698698699474334717e-01 -9.884391725063323975e-02 -1.256852298974990845e-01 -9.548360109329223633e-02 -5.640716552734375000e-01 -5.382550954818725586e-01 -5.593641996383666992e-01 -2.629390656948089600e-01 -2.225845009088516235e-01 -1.994069516658782959e-01 1.773337833583354950e-02 4.476523101329803467e-01 -2.872086763381958008e-01
6 714.4876098632812 -1.429204791784286499e-01 -5.131493806838989258e-01 -2.928040623664855957e-01 -1.399245858192443848e-01 1.690406352281570435e-01 2.287742793560028076e-01 -2.720945514738559723e-03 1.435516923666000366e-01 8.649116158485412598e-01 5.510319471359252930e-01 4.462111592292785645e-01 4.212899804115295410e-01 -2.176277339458465576e-01 -6.050574183464050293e-01 1.439713835716247559e-01 7.069723606109619141e-01 -7.933635115623474121e-01 -6.458466649055480957e-01 -3.546500205993652344e-01 2.717299759387969971e-01 -7.878894209861755371e-01 -2.559207677841186523e-01 2.769899070262908936e-01 5.340015292167663574e-01 -2.151290029287338257e-01 -3.442299365997314453e-01 4.626436829566955566e-01 -2.298739552497863770e-01 2.028289288282394409e-01 -4.600175917148590088e-01 -2.525842189788818359e-01 4.012229740619659424e-01 -9.338498860597610474e-02 -4.441925287246704102e-01 1.733223535120487213e-02 -4.601185321807861328e-01 -3.528699874877929688e-01 5.828563570976257324e-01 3.729548752307891846e-01 1.025859713554382324e-01 9.248124063014984131e-02 4.264163374900817871e-01 3.416464030742645264e-01 -1.719685345888137817e-01 5.722866058349609375e-01 1.180506423115730286e-01 -3.317315876483917236e-02 -3.115885891020298004e-02 1.263374984264373779e-01 -3.899587392807006836e-01 -3.156745135784149170e-01 -1.628286987543106079e-01 -7.116974592208862305e-01 -9.497905522584915161e-02 -2.763269841670989990e-01 7.395823001861572266e-01 -4.332761764526367188e-01 -5.281763672828674316e-01 -2.866453826427459717e-01 2.026973366737365723e-01 -6.104061603546142578e-01 7.661020848900079727e-03 5.359885096549987793e-02 -2.721477672457695007e-02 -5.638867616653442383e-01 8.048753440380096436e-02 -2.046314626932144165e-01 -1.857532560825347900e-01 -6.311585307121276855e-01 -8.747991919517517090e-01 -9.313306957483291626e-02 -2.675562202930450439e-01 -5.400851368904113770e-01 3.601619601249694824e-01 3.128267824649810791e-01 6.337251663208007812e-01 -5.540443658828735352e-01 -5.809578299522399902e-01 -2.463914304971694946e-01 -4.186390340328216553e-02 3.521969616413116455e-01 -4.358494579792022705e-01 -5.323407649993896484e-01 5.888251662254333496e-01 7.216674834489822388e-02 -1.308717131614685059e-01 5.855399966239929199e-01 -1.848518550395965576e-01 -1.156891882419586182e-01 -1.415862888097763062e-01 -1.126010343432426453e-01 -5.725728273391723633e-01 -5.466461181640625000e-01 -5.297136902809143066e-01 -2.390268594026565552e-01 -2.142886370420455933e-01 -2.134660780429840088e-01 -1.657026004977524281e-03 4.210797250270843506e-01 -2.634995877742767334e-01
7 703.83984375 -1.310997158288955688e-01 -4.963299334049224854e-01 -3.011933267116546631e-01 -1.282749623060226440e-01 1.770568937063217163e-01 2.362356781959533691e-01 7.351955864578485489e-03 1.311957836151123047e-01 8.440225720405578613e-01 5.565612316131591797e-01 4.527052342891693115e-01 4.272011518478393555e-01 -2.053422182798385620e-01 -5.875291228294372559e-01 1.317643970251083374e-01 6.885256767272949219e-01 -7.954877614974975586e-01 -6.287314295768737793e-01 -3.612569868564605713e-01 2.579356133937835693e-01 -7.686331272125244141e-01 -2.641663551330566406e-01 2.852681875228881836e-01 5.165839195251464844e-01 -2.029707282781600952e-01 -3.524158000946044922e-01 4.472190737724304199e-01 -2.237851321697235107e-01 1.898326724767684937e-01 -4.438003003597259521e-01 -2.598244547843933105e-01 3.861346840858459473e-01 -1.024909764528274536e-01 -4.500285089015960693e-01 6.274810060858726501e-03 -4.442618191242218018e-01 -3.602211177349090576e-01 5.661561489105224609e-01 3.793155848979949951e-01 1.114189550280570984e-01 1.018487066030502319e-01 4.104381799697875977e-01 3.496389687061309814e-01 -1.804485172033309937e-01 5.775970220565795898e-01 1.041373983025550842e-01 -2.190300077199935913e-02 -1.878711581230163574e-02 1.356440335512161255e-01 -3.756666183471679688e-01 -3.016880154609680176e-01 -1.508464366197586060e-01 -7.154884934425354004e-01 -1.042301431298255920e-01 -2.641629278659820557e-01 7.422602176666259766e-01 -4.170606732368469238e-01 -5.321065187454223633e-01 -2.944470643997192383e-01 1.902066320180892944e-01 -5.921950340270996094e-01 1.870245672762393951e-02 6.314153969287872314e-02 -1.541304681450128555e-02 -5.675942897796630859e-01 9.002467244863510132e-02 -1.916284859180450439e-01 -1.731574982404708862e-01 -6.337014436721801758e-01 -8.765700459480285645e-01 -1.024292856454849243e-01 -2.731219530105590820e-01 -5.242372155189514160e-01 3.447687327861785889e-01 3.206295669078826904e-01 6.386386752128601074e-01 -5.376392006874084473e-01 -5.850589871406555176e-01 -2.545968294143676758e-01 -3.102052025496959686e-02 3.391573727130889893e-01 -4.420231580734252930e-01 -5.358537435531616211e-01 5.720005631446838379e-01 8.275103569030761719e-02 -1.404316872358322144e-01 5.912135243415832520e-01 -1.733143627643585205e-01 -1.269465684890747070e-01 -1.299906969070434570e-01 -1.232823580503463745e-01 -5.770957469940185547e-01 -5.303260087966918945e-01 -5.130177736282348633e-01 -2.257425338029861450e-01 -2.016510963439941406e-01 -2.007098495960235596e-01 -1.247455552220344543e-02 4.270172119140625000e-01 -2.711277902126312256e-01
8 693.9429321289062 -1.399051696062088013e-01 -4.805304110050201416e-01 -3.088545501232147217e-01 -1.374060511589050293e-01 1.649765819311141968e-01 2.237202078104019165e-01 -2.606330439448356628e-03 1.400643438100814819e-01 8.245159983634948730e-01 5.612276196479797363e-01 4.585966765880584717e-01 4.127336442470550537e-01 -2.133494466543197632e-01 -5.915753245353698730e-01 1.408032327890396118e-01 6.912310123443603516e-01 -7.764362692832946777e-01 -6.325348019599914551e-01 -3.469738364219665527e-01 2.655470073223114014e-01 -7.709832191467285156e-01 -2.508942186832427979e-01 2.928423583507537842e-01 5.002108812332153320e-01 -2.110045403242111206e-01 -3.592330813407897949e-01 4.528854191303253174e-01 -2.319067865610122681e-01 1.854419559240341187e-01 -4.283997714519500732e-01 -2.466507405042648315e-01 3.923968374729156494e-01 -9.114865213632583618e-02 -4.351977705955505371e-01 1.663922145962715149e-02 -4.498836398124694824e-01 -3.672834932804107666e-01 5.705667734146118164e-01 3.649522364139556885e-01 9.995045512914657593e-02 9.055331349372863770e-02 4.162305593490600586e-01 3.564889132976531982e-01 -1.682212948799133301e-01 5.819142460823059082e-01 9.265357255935668945e-02 -3.215265274047851562e-02 -7.927563972771167755e-03 1.275972276926040649e-01 -3.822053670883178711e-01 -3.088386654853820801e-01 -1.596269905567169189e-01 -7.186967134475708008e-01 -9.245558828115463257e-02 -2.717417478561401367e-01 7.451862692832946777e-01 -4.013467729091644287e-01 -5.160862803459167480e-01 -3.021020591259002686e-01 1.988708227872848511e-01 -5.750484466552734375e-01 8.025089278817176819e-03 5.229330807924270630e-02 -4.566930234432220459e-03 -5.510102510452270508e-01 7.890933007001876831e-02 -1.994930654764175415e-01 -1.813023239374160767e-01 -6.165910363197326660e-01 -8.779238462448120117e-01 -9.090053290128707886e-02 -2.808531224727630615e-01 -5.286492705345153809e-01 3.304367065429687500e-01 3.278317153453826904e-01 6.422766447067260742e-01 -5.420562028884887695e-01 -5.684664845466613770e-01 -2.411921620368957520e-01 -4.103050008416175842e-02 3.454052805900573730e-01 -4.269487261772155762e-01 -5.201126933097839355e-01 5.763053894042968750e-01 9.286049008369445801e-02 -1.497432887554168701e-01 5.957542657852172852e-01 -1.814168244600296021e-01 -1.360471844673156738e-01 -1.388293206691741943e-01 -1.327721476554870605e-01 -5.817236900329589844e-01 -5.350120663642883301e-01 -4.975886642932891846e-01 -2.337873578071594238e-01 -2.100469172000885010e-01 -2.087060958147048950e-01 -2.318156138062477112e-02 4.123850762844085693e-01 -2.577843368053436279e-01
9 686.892333984375 -1.307165473699569702e-01 -4.680542647838592529e-01 -3.146181404590606689e-01 -1.449417769908905029e-01 1.713149547576904297e-01 2.297801971435546875e-01 5.246148910373449326e-03 1.303932368755340576e-01 8.091116547584533691e-01 5.649377703666687012e-01 4.633482694625854492e-01 4.173704981803894043e-01 -2.037325501441955566e-01 -5.784282684326171875e-01 1.316289901733398438e-01 6.774280667304992676e-01 -7.781061530113220215e-01 -6.192967891693115234e-01 -3.522625565528869629e-01 2.551015317440032959e-01 -7.565361261367797852e-01 -2.569649219512939453e-01 2.984763383865356445e-01 4.877248108386993408e-01 -2.014795839786529541e-01 -3.647979199886322021e-01 4.412409067153930664e-01 -2.383691668510437012e-01 1.756546795368194580e-01 -4.164429008960723877e-01 -2.524796426296234131e-01 3.809106945991516113e-01 -9.836871922016143799e-02 -4.397830069065093994e-01 8.359971456229686737e-03 -4.379563629627227783e-01 -3.727338016033172607e-01 5.577904582023620605e-01 3.699219524860382080e-01 1.069096326828002930e-01 9.794432669878005981e-02 4.046257138252258301e-01 3.621098101139068604e-01 -1.748372763395309448e-01 5.846900939941406250e-01 8.289102464914321899e-02 -2.362650260329246521e-02 6.761707481928169727e-04 1.349461525678634644e-01 -3.709083795547485352e-01 -2.979269027709960938e-01 -1.503696441650390625e-01 -7.210843563079833984e-01 -8.298519253730773926e-02 -2.784882187843322754e-01 7.471728920936584473e-01 -3.896121084690093994e-01 -5.195305347442626953e-01 -3.078534603118896484e-01 2.057836651802062988e-01 -5.618269443511962891e-01 1.621005870401859283e-02 5.989205092191696167e-02 3.909890074282884598e-03 -5.544404387474060059e-01 8.631926774978637695e-02 -1.896965056657791138e-01 -1.716769337654113770e-01 -6.026515960693359375e-01 -8.790544867515563965e-01 -9.818476438522338867e-02 -2.867694199085235596e-01 -5.165665149688720703e-01 3.191631734371185303e-01 3.333757221698760986e-01 6.359673142433166504e-01 -5.295127034187316895e-01 -5.718052387237548828e-01 -2.307861745357513428e-01 -3.265336900949478149e-02 3.351503014564514160e-01 -4.316718876361846924e-01 -5.237093567848205566e-01 5.634383559226989746e-01 1.004408597946166992e-01 -1.569534093141555786e-01 5.994874238967895508e-01 -1.721615046262741089e-01 -1.436303704977035522e-01 -1.298734843730926514e-01 -1.402226686477661133e-01 -5.852113962173461914e-01 -5.224753022193908691e-01 -4.852117002010345459e-01 -2.237520664930343628e-01 -2.080623805522918701e-01 -1.988749504089355469e-01 -3.129038959741592407e-02 4.170022010803222656e-01 -2.637923955917358398e-01
